pdf, Part No.,Series Name,Size ( Dimension),Tolerance,T.C.R,Rated Power,Resistance Value
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-0710DBL,ATV321CR-0710DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-071DBL,ATV321CR-071DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-072DBL,ATV321CR-072DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-073DBL,ATV321CR-073DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-074DBL,ATV321CR-074DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-075DBL,ATV321CR-075DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-076DBL,ATV321CR-076DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-077DBL,ATV321CR-077DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321CR-078DBL,ATV321CR-078DBL,Rchip_RFAtten,0404 (1010),±0.3dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321DR-0710DBL,ATV321DR-0710DBL,Rchip_RFAtten,0404 (1010),±0.5dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321DR-0715DBL,ATV321DR-0715DBL,Rchip_RFAtten,0404 (1010),±0.5dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321DR-076DBL,ATV321DR-076DBL,Rchip_RFAtten,0404 (1010),±0.5dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321DR-077DBL,ATV321DR-077DBL,Rchip_RFAtten,0404 (1010),±0.5dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321DR-078DBL,ATV321DR-078DBL,Rchip_RFAtten,0404 (1010),±0.5dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321DR-079DBL,ATV321DR-079DBL,Rchip_RFAtten,0404 (1010),±0.5dB,Based on Spec,40mW,0
http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=ATV321GR-0720DBL,ATV321GR-0720DBL,Rchip_RFAtten,0404 (1010),±2dB,Based on Spec,40mW,0
